signal,name,auroc_detection,auroc_failure
logprob_uncertainty,Logprob Uncertainty,0.5143320713899405,0.44772727272727275
peak_entropy,Peak Entropy,0.5892374256354787,0.575
mean_vocab_gap,Vocab Gap (mean),0.48526230394808006,0.5643939393939394
