base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
3hop_percentage_chain_0004,replace_prior,3,wrong_percentage_base,False,False,0.0188166258701364,0.0118663129215468,False,1
3hop_percentage_chain_0004,branch_and_pick,3,wrong_percentage_base,False,False,0.9999949739318816,0.6668562804469098,True,2
4hop_nested_fractions_0015,baseline,4,off_by_one,False,False,0.9999999323136802,0.772635494075308,True,0
4hop_nested_fractions_0015,reprompt,4,off_by_one,False,False,0.9999999323136802,0.772635494075308,True,3
4hop_nested_fractions_0015,replace_prior,4,off_by_one,True,False,0.7675926838666197,0.2182255706268923,False,1
4hop_nested_fractions_0015,branch_and_pick,4,off_by_one,False,False,0.9999999973731452,0.7723900287367232,True,3
2hop_fractions_0003,baseline,2,magnitude_error,False,False,0.9999999905224348,0.5034201320672002,True,0
2hop_fractions_0003,reprompt,2,magnitude_error,False,False,0.9999999905224348,0.5034201320672002,True,1
2hop_fractions_0003,replace_prior,2,magnitude_error,False,True,0.0153751817733612,0.0111077276926633,False,1
2hop_fractions_0003,branch_and_pick,2,magnitude_error,False,True,0.9999999940906804,0.5034201338513229,True,1
4hop_compound_interest_0018,baseline,4,magnitude_error,False,False,0.9999999506051483,0.7499543488249343,True,0
4hop_compound_interest_0018,reprompt,4,magnitude_error,False,False,0.9999999506051483,0.7499543488249343,True,3
4hop_compound_interest_0018,replace_prior,4,magnitude_error,False,False,0.001972098333195,0.0007050989145531,False,1
4hop_compound_interest_0018,branch_and_pick,4,magnitude_error,False,False,0.999999774513854,0.7496415095029774,True,3
2hop_arithmetic_0015,baseline,2,off_by_one,False,False,0.9601977486831754,0.9135896486474806,True,0
2hop_arithmetic_0015,reprompt,2,off_by_one,False,False,0.9601977486831754,0.9135896486474806,True,1
2hop_arithmetic_0015,replace_prior,2,off_by_one,False,False,0.9601977486831754,0.9135896486474806,True,0
2hop_arithmetic_0015,branch_and_pick,2,off_by_one,False,False,0.9592066277715654,0.9130940881916756,False,1
3hop_compound_rate_0040,baseline,3,off_by_one,False,False,0.9997306436647956,0.6679727101401652,True,0
3hop_compound_rate_0040,reprompt,3,off_by_one,False,False,0.9997306436647956,0.6679727101401652,True,2
3hop_compound_rate_0040,replace_prior,3,off_by_one,False,False,0.2447758408268629,0.0891592829678018,False,1
3hop_compound_rate_0040,branch_and_pick,3,off_by_one,False,False,0.9991851331543772,0.6675084410475002,True,2
