layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.9245251826220684,0.037778839285879835,0.8683257918552035,0.04138231082415811
2,last,0.9215664304937661,0.0385639913191064,0.8606334841628959,0.04785696288549596
3,last,0.9179551820728292,0.03980766697164431,0.8529411764705882,0.0392048076336954
4,last,0.9200115340253749,0.03695148248760403,0.8683257918552035,0.03303769995383583
5,last,0.9376042181578512,0.029938448435249145,0.8721719457013574,0.019256629464258976
6,last,0.9375756577140659,0.02584967077381057,0.8644796380090497,0.020397711810446976
7,last,0.9564524633382765,0.019137501513283254,0.8916289592760182,0.03081835902842401
8,last,0.9624688306695226,0.01758870104932575,0.8955505279034691,0.030826108964655985
9,last,0.9578365463832592,0.01925207906578541,0.8993966817496231,0.030418811691165063
10,last,0.9619108035371011,0.017204815798271836,0.8877828054298643,0.027695404618543924
11,last,0.9680419618827922,0.01402140177183943,0.8877828054298643,0.027695404618543924
12,last,0.967657494370297,0.015469101884680593,0.8877828054298643,0.03278123620275813
13,last,0.9649579831932773,0.01728541346585004,0.883785822021116,0.027164400035843663
14,last,0.9679853902345252,0.015335344065319882,0.8914781297134239,0.02607258160010279
15,last,0.9591563684297248,0.013022911934916058,0.8759426847662141,0.01560010850917605
16,last,0.9683110891415391,0.011622392465744555,0.8991704374057315,0.014804365291332618
17,last,0.9685703300928215,0.013892503111001053,0.883785822021116,0.02074441176103071
18,last,0.9641994837150547,0.0162604677076651,0.891553544494721,0.0336324559913141
19,last,0.966937441643324,0.0160322796161224,0.9147812971342384,0.015290800226870679
20,last,0.9685895534684462,0.015902007324947953,0.9148567119155355,0.025769794663459696
21,last,0.971001263250398,0.016973520821134354,0.9147812971342383,0.015098031681740225
22,last,0.9736634261547756,0.015457986384749127,0.9186274509803922,0.031081870689192766
23,last,0.9860965562695666,0.010419938780744532,0.934238310708899,0.03125176161916367
24,last,0.9871736145438568,0.008526710424057853,0.9498491704374057,0.028723034012408926
25,last,0.9898632394134126,0.006610954737635429,0.9497737556561086,0.02615642943919047
26,last,0.9912083264678421,0.00551199325810077,0.9458521870286576,0.028514966067197608
27,last,0.9901806997308726,0.007615975187121179,0.9498491704374057,0.028723034012408926
28,last,0.9888746086669962,0.007981565968761963,0.9498491704374057,0.028723034012408926
29,last,0.9911616411270391,0.008014277689420169,0.9574660633484162,0.02838983406938715
30,last,0.9928521997034109,0.006945762492333513,0.9574660633484162,0.02838983406938715
31,last,0.9904597132970835,0.008732245814639196,0.9534690799396681,0.023396334426778305
32,last,0.9880573405832921,0.011543448355253734,0.9534690799396681,0.023396334426778305
33,last,0.9863766683143845,0.012091790657797582,0.9573906485671191,0.028636771016315007
34,last,0.9857142857142858,0.012621837549928468,0.9496229260935143,0.03616026700915485
35,last,0.9880771131982204,0.010646704002499037,0.9574660633484162,0.02838983406938715
36,last,0.9877607513593674,0.01021029194071015,0.9573906485671191,0.028636771016315007
