signal,name,auroc_detection,auroc_failure
logprob_uncertainty,Logprob Uncertainty,0.727149810708491,0.5575396825396826
peak_entropy,Peak Entropy,0.7224851270957273,0.41121031746031744
mean_vocab_gap,Vocab Gap (mean),0.3018523526230395,0.4156746031746032
