signal,name,auroc_detection,auroc_failure
probe_score,Activation Probe,0.9998647917793402,0.6021978021978022
logprob_uncertainty,Logprob Uncertainty,0.803677663601947,0.4432234432234432
peak_entropy,Peak Entropy,0.758754732287723,0.5274725274725275
mean_vocab_gap,Vocab Gap (mean),0.21842888047593295,0.5875457875457877
