layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.8955857637172517,0.03525622610315172,0.8216440422322776,0.045149463459911277
2,last,0.9187708024386225,0.03473366281361705,0.8527903469079939,0.0257611859322568
3,last,0.9129928049651234,0.03457181106688563,0.8411010558069382,0.03548151254086646
4,last,0.9150008238589553,0.03356507687302843,0.8411764705882353,0.03503209384768489
5,last,0.9201894875597297,0.03360474349350133,0.8334841628959276,0.03520553915367583
6,last,0.9197962322183775,0.03447312954646849,0.8374057315233786,0.03496953402091126
7,last,0.921102323282254,0.03190890696971553,0.8489441930618401,0.02186326407252354
8,last,0.9197764596034492,0.03039025032667165,0.848868778280543,0.02247233944224258
9,last,0.9271472510572856,0.02445552606202987,0.8567119155354449,0.02548417110871024
10,last,0.9251090240017575,0.02913462022466828,0.8565610859728506,0.026233722994361185
11,last,0.9410221343439336,0.02257473203006735,0.8644042232277526,0.02690162692088686
12,last,0.941396166309661,0.022228604481832146,0.8644042232277526,0.02690162692088686
13,last,0.9516109188773548,0.019949044554213227,0.8683257918552035,0.02778847938288555
14,last,0.9579914318668644,0.018637659151642637,0.88763197586727,0.014143036431537132
15,last,0.9661295106277805,0.017941003333392887,0.9110859728506788,0.030802484027362007
16,last,0.9823216345361674,0.01241484363287082,0.9380844645550528,0.022237004517625475
17,last,0.9872702806612843,0.007054092212169473,0.9380844645550528,0.028320635231453596
18,last,0.9852144779480418,0.0075430223222431175,0.9380844645550528,0.022237004517625475
19,last,0.9848695556654035,0.010339698174569253,0.9459276018099547,0.028089956093527275
20,last,0.9875300708518703,0.007036966273495517,0.9497737556561086,0.025931501676086467
21,last,0.9885093645301257,0.005867497131035643,0.9497737556561086,0.02290226593798164
22,last,0.9898154555940023,0.005692588529491345,0.9496229260935143,0.00943318037669313
23,last,0.9897962322183776,0.006479417197607513,0.9535444947209653,0.009178942432172326
24,last,0.987047289504037,0.006250292501094224,0.9457767722473605,0.014297815174846533
25,last,0.9870472895040369,0.005646444395940902,0.9535444947209653,0.009178942432172326
26,last,0.9870763991871259,0.004571801451909704,0.9535444947209653,0.009178942432172326
27,last,0.9884412588564837,0.006449703367497593,0.9535444947209653,0.009178942432172326
28,last,0.9887675070028011,0.007027074715022136,0.9534690799396681,0.009585690404486083
29,last,0.9874328554951392,0.0067883410311589745,0.9495475113122172,0.015805470094055023
30,last,0.9891239633108144,0.0062050969002792776,0.9496229260935143,0.015392007214852389
31,last,0.9884813533256439,0.009416283563093906,0.9574660633484162,0.014232030084478481
32,last,0.9894996429944527,0.008112818493862764,0.9574660633484162,0.018721102382294158
33,last,0.9888367111550502,0.00839697805174577,0.9574660633484162,0.018721102382294158
34,last,0.988144669632559,0.0088614600128148,0.9536199095022624,0.019450581793819206
35,last,0.988154555940023,0.008508956960199066,0.9497737556561086,0.019405792717928177
36,last,0.9884709177788762,0.008263619253247041,0.9497737556561086,0.019405792717928177
37,last,0.988816938540122,0.007897929106997438,0.9497737556561086,0.019405792717928177
38,last,0.988144669632559,0.008861460012814782,0.9497737556561086,0.019405792717928177
39,last,0.9874724007249958,0.008665159718644462,0.9536199095022624,0.019450581793819206
40,last,0.9888460482232109,0.007733647015602946,0.9497737556561086,0.019405792717928177
41,last,0.9895183171307739,0.006872956538877197,0.9536199095022624,0.019450581793819206
42,last,0.9898643378920194,0.006557223200710346,0.9496983408748114,0.015161184763956633
43,last,0.9891920689844564,0.007485598084247981,0.9496983408748114,0.015161184763956633
44,last,0.9898742241994837,0.006783350084054361,0.9496983408748114,0.015161184763956633
45,last,0.9905563794145108,0.006114735804131322,0.9496983408748114,0.015161184763956633
46,last,0.9898736749601802,0.005152689514336593,0.9535444947209653,0.015237518769667625
47,last,0.9895468775745593,0.005069389393276152,0.9496983408748114,0.015161184763956633
48,last,0.9898637886527158,0.00604723048857118,0.9497737556561086,0.019405792717928177
49,last,0.989239303564563,0.00579022901317704,0.9458521870286576,0.014069657771997162
50,last,0.9892014060526171,0.00611064959124331,0.9458521870286576,0.014069657771997162
51,last,0.9892206294282418,0.006559725385009861,0.9458521870286576,0.014069657771997162
52,last,0.9878656560663479,0.005953335418290437,0.9459276018099547,0.022207828465894836
53,last,0.9888751579062998,0.006532625123966873,0.9459276018099547,0.022207828465894836
54,last,0.9865205690119186,0.006463245376815818,0.9420060331825038,0.02079233525952586
55,last,0.9868665897731642,0.006387883465117294,0.9381598793363499,0.022117240975504056
56,last,0.9858675234799803,0.008057255669774459,0.9381598793363499,0.022117240975504056
57,last,0.9855028285824134,0.008809208764752895,0.9304675716440423,0.030950027783756835
58,last,0.9851760311967924,0.008045569578045404,0.9264705882352942,0.025360007394394365
59,last,0.9851760311967924,0.008045569578045404,0.9226244343891403,0.026989010527985777
60,last,0.9844938759817653,0.007525852746480301,0.9264705882352942,0.025360007394394365
61,last,0.9810924369747898,0.008639410988327323,0.926395173453997,0.02259349317117523
62,last,0.9807755258966331,0.009798266249663625,0.9187028657616894,0.022413039549421736
63,last,0.981102323282254,0.010577189360862337,0.9148567119155355,0.025996121611258714
64,last,0.9828027681660899,0.008662126242841064,0.9225490196078432,0.02114789682514094
65,last,0.982773658483001,0.008531440445338661,0.9148567119155355,0.025996121611258714
66,last,0.9821019388147414,0.010151178280821696,0.9187782805429865,0.025222383127220735
67,last,0.9827934310979293,0.010061023910582232,0.9187782805429865,0.025222383127220735
68,last,0.9810638765310046,0.01126318808734006,0.9110105580693817,0.031106197631292583
69,last,0.9803624979403525,0.008451089747244548,0.9149321266968327,0.030953702773413763
70,last,0.9810638765310046,0.008932701393848693,0.9110105580693817,0.031106197631292583
71,last,0.9804009446916021,0.008573990108826092,0.9110105580693817,0.031106197631292583
72,last,0.9794013291591147,0.008289632691215269,0.9149321266968327,0.030953702773413763
73,last,0.9787191739440875,0.0078011639848481066,0.9071644042232277,0.030560578141528422
74,last,0.9759707804690503,0.0072131068904693054,0.9110859728506787,0.03089742761414174
75,last,0.9868589004229141,0.01071863071125158,0.9226998491704375,0.03410799713633516
76,last,0.9861668589004229,0.010285921403321263,0.9149321266968327,0.030953702773413763
77,last,0.9936134453781513,0.00826097864029885,0.9381598793363499,0.03054438296343597
78,last,0.9932866479925304,0.008442506604943664,0.9381598793363499,0.03054438296343597
79,last,0.9902125556104794,0.011158133519971634,0.9265460030165913,0.042627967475920944
80,last,0.9892041522491348,0.012456182460178409,0.9264705882352942,0.04606972884522046
0,mean,0.818350085132092,0.04179803336668383,0.7090497737556561,0.06910339989048592
1,mean,0.825836216839677,0.04097218020538473,0.7207390648567119,0.0683399410665649
2,mean,0.8912835722524305,0.03398066559598279,0.8101809954751131,0.04066010855943162
3,mean,0.9051007854122041,0.03129925628785926,0.8139517345399699,0.0498979209095539
4,mean,0.909809413961663,0.033016767034367824,0.8217948717948719,0.05077918651583905
5,mean,0.9131713077387819,0.037478798584058975,0.8180241327300151,0.06264857990132036
6,mean,0.9209056956115779,0.0380405512585219,0.844947209653092,0.04921148200399994
7,mean,0.9266029549074531,0.0396067007877228,0.8487179487179486,0.05179485861814657
8,mean,0.9341105069478772,0.03324446825043411,0.8450226244343891,0.048822553226739625
9,mean,0.9361196243203164,0.029123992934463477,0.8450226244343891,0.044043781869059585
10,mean,0.9366490910089524,0.03374180260478002,0.8567119155354449,0.03935394469968084
11,mean,0.939466139396935,0.0236330230990573,0.8606334841628959,0.044329909247390414
12,mean,0.9448849343659032,0.027278094263303684,0.8644796380090497,0.034253257513146985
13,mean,0.9568589004229141,0.017331268076919454,0.88763197586727,0.03084455335628095
14,mean,0.9612116219036635,0.015224423847626055,0.891553544494721,0.01933709111649852
15,mean,0.9676684791563683,0.012929135017092514,0.9031674208144796,0.020806007412964435
16,mean,0.9733470643159224,0.009439696449767393,0.9031674208144796,0.020806007412964435
17,mean,0.9759993409128358,0.011857725442462795,0.9030920060331826,0.02763928585294607
18,mean,0.9834250562970285,0.008790902960972307,0.918552036199095,0.014733894502746724
19,mean,0.9850969407370791,0.010600088388033543,0.9301659125188536,0.00992900826130846
20,mean,0.9843961113857308,0.011519921702167354,0.9301659125188536,0.00992900826130846
21,mean,0.9837617399901137,0.009394125209800304,0.922473604826546,0.0007389109329663197
22,mean,0.9837232932388641,0.012181731046258106,0.9186274509803921,0.018733250266501775
23,mean,0.9857609710550885,0.010332722107247639,0.922473604826546,0.012185031122229321
24,mean,0.9837139561707037,0.012506075172411623,0.9225490196078431,0.020869056478344476
25,mean,0.9844065469324985,0.011681660777766134,0.922473604826546,0.0007389109329663197
26,mean,0.9857708573625528,0.010563292593776988,0.9186274509803921,0.007421366274595804
27,mean,0.9871060581095182,0.00986065864811056,0.9302413273001507,0.019607843137254905
28,mean,0.9871247322458394,0.009443822147837616,0.9340874811463046,0.009626542486558356
29,mean,0.9874800900752458,0.009515684030912405,0.9340874811463046,0.009626542486558356
30,mean,0.9888350634371396,0.008907841602831442,0.9302413273001507,0.01537980878985021
31,mean,0.9895172186521668,0.006629311204309573,0.9380844645550528,0.01409348721045345
32,mean,0.989162410062064,0.007383426552231116,0.9419306184012066,0.020933545824708924
33,mean,0.9895084308233096,0.007829218842879505,0.9419306184012066,0.020933545824708924
34,mean,0.9888262756082824,0.006395465278377753,0.9457767722473605,0.014297815174846533
35,mean,0.9905074971164936,0.005919868663700635,0.9419306184012066,0.020933545824708924
36,mean,0.9905074971164936,0.005626300193279336,0.9419306184012066,0.020933545824708924
37,mean,0.9885088152908222,0.0047829887850008995,0.9380844645550528,0.01861599784685354
38,mean,0.9884994782226617,0.005026178985531589,0.9341628959276018,0.015166810644429282
39,mean,0.9875097489976383,0.005334509009351292,0.9380844645550528,0.01861599784685354
40,mean,0.9888641731202285,0.004375036339430109,0.930316742081448,0.022856278154501464
41,mean,0.9868369308507716,0.005637232960105551,0.9341628959276018,0.015166810644429282
42,mean,0.9878552205195804,0.004730766691000258,0.9264705882352942,0.022121097849014153
43,mean,0.987192288680178,0.005064559533043552,0.930316742081448,0.022856278154501464
44,mean,0.986193222386994,0.0058363341708163935,0.9225490196078432,0.020869056478344476
45,mean,0.9872208491239635,0.005387146058108164,0.9225490196078432,0.020869056478344476
46,mean,0.9865189212940078,0.004019120667208111,0.9225490196078432,0.020869056478344476
47,mean,0.9865386939089362,0.006373029902427314,0.9225490196078432,0.020869056478344476
48,mean,0.9872115120558028,0.0058729484568816465,0.9225490196078432,0.020869056478344476
49,mean,0.9872016257483386,0.005029991476321599,0.9187028657616894,0.022150131376889568
50,mean,0.9885467128027681,0.005693980998922095,0.9225490196078432,0.020869056478344476
51,mean,0.9868940517383425,0.006513231947143682,0.9225490196078432,0.020869056478344476
52,mean,0.9868841654308783,0.006672618762769219,0.926395173453997,0.022332709460463302
53,mean,0.9875569835777448,0.00690237229592303,0.926395173453997,0.022332709460463302
54,mean,0.9855105179326632,0.005079188687814861,0.926395173453997,0.022332709460463302
55,mean,0.9838391827319164,0.007688516616377805,0.926395173453997,0.022332709460463302
56,mean,0.9848668094688856,0.0072022304223573145,0.9225490196078432,0.020869056478344476
57,mean,0.9862025594551544,0.006789632291671146,0.9225490196078432,0.020869056478344476
58,mean,0.985866425001373,0.00732806341798799,0.9225490196078432,0.020869056478344476
59,mean,0.9875575328170484,0.006866058613348327,0.926395173453997,0.025429882145387696
60,mean,0.9878837809633657,0.006667458396662816,0.9302413273001509,0.026083050064378506
61,mean,0.9942829680891965,0.0031232522818275808,0.9457767722473605,0.02236706299315475
62,mean,0.9932745647278519,0.003981259888950724,0.9457767722473605,0.02236706299315475
63,mean,0.9942829680891965,0.0034661841030621974,0.9457767722473605,0.02236706299315475
64,mean,0.9976558466523864,0.0016996605822517648,0.96131221719457,0.0120465523615357
65,mean,0.9976558466523864,0.0016996605822517648,0.9535444947209653,0.015237518769667625
66,mean,0.9969929148129839,0.0024424937987431506,0.9574660633484162,0.018721102382294158
67,mean,0.9979826440380073,0.0016468843207314305,0.9574660633484162,0.018721102382294158
68,mean,0.9973197121986048,0.002270348277103289,0.9574660633484162,0.018721102382294158
69,mean,0.9973197121986048,0.002270348277103289,0.9574660633484162,0.018721102382294158
70,mean,0.9973197121986048,0.002270348277103289,0.9574660633484162,0.018721102382294158
71,mean,0.9973197121986048,0.002270348277103289,0.9574660633484162,0.018721102382294158
72,mean,0.9976465095842257,0.0022798155389816767,0.9574660633484162,0.018721102382294158
73,mean,0.9976465095842257,0.0022798155389816767,0.9651583710407239,0.007622490961383549
74,mean,0.9976657329598506,0.0025081805251735956,0.9651583710407239,0.007622490961383549
75,mean,0.9990009337068161,0.0008159123165248701,0.9651583710407239,0.007622490961383549
76,mean,0.9990009337068161,0.0008159123165248701,0.9690799396681749,0.009236386662078317
77,mean,1.0,0.0,0.9845399698340873,0.007731394498560682
78,mean,1.0,0.0,0.9845399698340873,0.007731394498560682
79,mean,1.0,0.0,0.9806184012066363,0.00018472773324156632
80,mean,0.9993370681605975,0.0008120565790908991,0.9729260935143287,0.00929898198600199
