layer,mode,auroc_mean,auroc_std,acc_mean,acc_std
0,last,0.5,0.0,0.6666666666666666,0.007022084070579068
1,last,0.8822820893063106,0.023594062566862434,0.7984917043740574,0.031304493128928405
2,last,0.8936958312736859,0.0332158428035008,0.8256410256410257,0.0543099535730207
3,last,0.8976141044653156,0.03274103205340396,0.8141025641025641,0.04442116270604496
4,last,0.9347723403086725,0.024344749207109145,0.8642533936651583,0.03274686612246637
5,last,0.9283242708848245,0.031240747229640008,0.8604072398190045,0.02304584901040153
6,last,0.9299956060855715,0.03107774150098175,0.8526395173453997,0.033924415424372356
7,last,0.9361168781237985,0.026947950401003264,0.8604826546003016,0.028252877367917345
8,last,0.9397402098094141,0.025307244146896876,0.8797888386123681,0.03118781904936429
9,last,0.938077662437524,0.02828039017382343,0.8719457013574662,0.05211898021202818
10,last,0.9384462020102159,0.019720512448004573,0.8527149321266968,0.03614374853876358
11,last,0.9480172461141319,0.014323008598936988,0.8721719457013574,0.025820065191425212
12,last,0.9457219750645356,0.018202133783170905,0.8605580693815987,0.028054298642533948
13,last,0.9498522546273411,0.015732127283799243,0.8797888386123681,0.014876796187728468
14,last,0.9523304223650244,0.013291875476692137,0.8721719457013574,0.008312747995870484
15,last,0.9566732575383095,0.013453862433188557,0.8721719457013574,0.014929460279625873
16,last,0.9634475751084747,0.015688961090718857,0.8874811463046756,0.02332329374395467
17,last,0.9773334431811941,0.011067701349983814,0.9147058823529413,0.035898069629499915
18,last,0.9751914098972924,0.01886884464195482,0.9147058823529413,0.026399913386090188
19,last,0.9785730762893392,0.015616209793260196,0.9030165912518854,0.032644584100563055
20,last,0.9761602680287801,0.019671063280050805,0.9030165912518854,0.03264458410056305
21,last,0.9740753556324491,0.021688287344874064,0.9067873303167421,0.038170161784824054
22,last,0.9734618553303674,0.019072030110589486,0.9068627450980392,0.02890265958854535
23,last,0.9727698138078761,0.022013098366859905,0.9030165912518854,0.03264458410056305
24,last,0.9758257812929093,0.019676550781702346,0.9263197586726999,0.019133073346935033
25,last,0.9761421431317624,0.021138157842616738,0.9107843137254903,0.0318153860111601
26,last,0.9809375514911848,0.016306739513095088,0.9301659125188536,0.029354083517089808
27,last,0.987393859504586,0.012236157978286586,0.9379336349924585,0.02286150304384951
28,last,0.9860004393914428,0.014488871866089941,0.9456259426847662,0.023038444245563536
29,last,0.9887675070028011,0.009983312740767886,0.9457767722473605,0.022627450779312875
30,last,0.9908046355797222,0.008726797184189047,0.9613876319758672,0.0210684119115877
31,last,0.9894216510133464,0.010581582331396661,0.9613876319758672,0.0210684119115877
32,last,0.991467018179821,0.010008818797551043,0.9690799396681749,0.01546278899712132
33,last,0.9907755258966333,0.01072484696035485,0.965233785822021,0.018875402285281163
34,last,0.9911116603504148,0.010233653271563045,0.9613876319758672,0.02432708314942771
35,last,0.9911215466578789,0.009737508827679956,0.9575414781297134,0.025491534767207225
36,last,0.995551161641127,0.00571356728692038,0.9767722473604825,0.014554466653301679
37,last,0.9952051408798814,0.0062947137438385155,0.9767722473604825,0.014554466653301679
38,last,0.9952051408798814,0.0062947137438385155,0.9767722473604825,0.014554466653301679
39,last,0.9962432031636184,0.004643408231662859,0.9767722473604825,0.014554466653301679
40,last,0.995551161641127,0.00571356728692038,0.9767722473604825,0.014554466653301679
41,last,0.995541275333663,0.006135917433652152,0.9767722473604825,0.014554466653301679
42,last,0.9965793376173998,0.004346198873053447,0.9767722473604825,0.014554466653301679
43,last,0.9959070687098368,0.005013673935924602,0.9767722473604825,0.014554466653301679
44,last,0.9965793376173998,0.004346198873053447,0.9767722473604825,0.014554466653301679
45,last,0.9969253583786456,0.0038146801285801686,0.9767722473604825,0.014554466653301679
46,last,0.99622343054869,0.0053977428044932755,0.9767722473604825,0.014554466653301679
47,last,0.9965694513099358,0.004759166140002608,0.9767722473604825,0.014554466653301679
48,last,0.9965595650024716,0.0053606764457793075,0.9767722473604825,0.014554466653301679
49,last,0.995175481957489,0.008074008760909947,0.9767722473604825,0.014554466653301679
50,last,0.9975976272862086,0.0033844687420686937,0.9767722473604825,0.014554466653301679
51,last,0.9965694513099358,0.004759166140002608,0.9767722473604825,0.014554466653301679
52,last,0.9969055857637172,0.004692362722751164,0.9767722473604825,0.014554466653301679
53,last,0.9975877409787444,0.004037004380454995,0.9767722473604825,0.014554466653301679
54,last,0.9972417202174988,0.004721309613204166,0.9767722473604825,0.014554466653301679
55,last,0.9972516065249628,0.004032062353820961,0.9729260935143287,0.019702463426102528
56,last,0.9965496786950074,0.00609516312076133,0.9767722473604825,0.014554466653301679
57,last,0.9975877409787444,0.004037004380454995,0.9767722473604825,0.014554466653301679
58,last,0.9948294611962432,0.008757706103440607,0.9767722473604825,0.014554466653301679
59,last,0.996895699456253,0.005407584257074426,0.9806184012066363,0.01240246464754107
60,last,0.9965496786950074,0.00609516312076133,0.9767722473604825,0.014554466653301679
61,last,0.996895699456253,0.005407584257074426,0.9767722473604825,0.014554466653301679
62,last,0.9962036579337618,0.006783649635537139,0.9767722473604825,0.014554466653301679
63,last,0.996895699456253,0.005407584257074426,0.9806184012066363,0.01240246464754107
64,last,0.9979337617399902,0.003355873538975491,0.9767722473604825,0.014554466653301679
0,mean,0.886285494589993,0.04618241064716661,0.7751885369532429,0.05311385468441006
1,mean,0.8986027352117318,0.04742908010931875,0.8023378582202112,0.06547306137713134
2,mean,0.9065892239248641,0.03983221250383486,0.8216440422322775,0.07022205558871908
3,mean,0.8867858515955402,0.048703469257279086,0.8062594268476622,0.08305951341813934
4,mean,0.8756313505794473,0.049107880985325994,0.7790346907993967,0.09567071716331368
5,mean,0.8920887570714561,0.054962580524008396,0.7984162895927602,0.07444917263691053
6,mean,0.9026693030153238,0.04148947678866272,0.7984917043740574,0.04837997820773461
7,mean,0.8968100181248971,0.03612355616212725,0.8023378582202112,0.06078655928543944
8,mean,0.8902768166089965,0.04426906339275246,0.7868024132730016,0.049231240570896014
9,mean,0.8954682265062889,0.04388886659086794,0.7944947209653093,0.06253290710219647
10,mean,0.9078711484593838,0.03957785206317211,0.8178733031674209,0.05847053462046861
11,mean,0.919284890426759,0.0364504305400568,0.8294117647058823,0.05318672563317764
12,mean,0.9257521832262317,0.03341929738010581,0.8294871794871795,0.057201204342502844
13,mean,0.9432586367880486,0.028370941440660873,0.8721719457013574,0.028847509308742737
14,mean,0.9500543746910528,0.02243345854791586,0.883785822021116,0.03251453000020105
15,mean,0.9642368319876968,0.01836358514031911,0.8914781297134237,0.03179285399191338
16,mean,0.9618619212390838,0.02403483502556876,0.8953242835595775,0.03189305278075877
17,mean,0.9674729499642994,0.02349464564293855,0.9030165912518854,0.033001528976089656
18,mean,0.970778272093151,0.025281163472702286,0.9107843137254903,0.026764917314900143
19,mean,0.9711424177514143,0.02516180060924173,0.9107843137254903,0.029398805978411453
20,mean,0.9691437359257428,0.023464927273078667,0.8991704374057315,0.031527167135422085
21,mean,0.9671351677926072,0.024740943684942764,0.9069381598793363,0.028790673092459258
22,mean,0.9657988685670347,0.026379695361448328,0.8953242835595777,0.036235684122725556
23,mean,0.9647613555226012,0.025344518276897487,0.8914781297134239,0.0262963026512187
24,mean,0.9640413027956282,0.025000075740126963,0.8993212669683256,0.022328379713077526
25,mean,0.9725270500357006,0.018734210473910478,0.918552036199095,0.022905494039950895
26,mean,0.9762657219750646,0.012333515283087987,0.9262443438914026,0.01508408743872866
27,mean,0.9850475091997584,0.012022685313402205,0.9263197586726999,0.01476974954480798
28,mean,0.9873828747185149,0.012176425225250934,0.9302413273001509,0.01537980878985021
29,mean,0.9881237985390235,0.01044845394549476,0.9380090497737557,0.022486507679095883
30,mean,0.9904965123304225,0.00838513188382143,0.9613876319758672,0.02432708314942771
31,mean,0.9914955786236064,0.008226639398854273,0.9536953242835595,0.028743223728081913
32,mean,0.9921486241555446,0.00935212520802474,0.9575414781297134,0.025491534767207225
33,mean,0.9951853682649532,0.007371606345676646,0.9575414781297134,0.025491534767207225
34,mean,0.9965694513099358,0.004759166140002608,0.9690799396681749,0.026132065089043685
35,mean,0.9965694513099358,0.004759166140002608,0.965233785822021,0.025537008430841633
36,mean,0.9958774097874444,0.006048093530731419,0.9690799396681749,0.026132065089043685
37,mean,0.99622343054869,0.0053977428044932755,0.9690799396681749,0.026132065089043685
38,mean,0.99622343054869,0.0053977428044932755,0.965233785822021,0.025537008430841633
39,mean,0.99622343054869,0.0053977428044932755,0.9690799396681749,0.026132065089043685
40,mean,0.99622343054869,0.0053977428044932755,0.9690799396681749,0.026132065089043685
41,mean,0.9958774097874444,0.006048093530731419,0.9690799396681749,0.026132065089043685
42,mean,0.9965694513099358,0.004759166140002608,0.9729260935143287,0.019702463426102528
43,mean,0.9965595650024716,0.0053606764457793075,0.9729260935143287,0.019702463426102528
44,mean,0.9965595650024716,0.0053606764457793075,0.9729260935143287,0.019702463426102528
45,mean,0.9965496786950074,0.00609516312076133,0.9767722473604825,0.014554466653301679
46,mean,0.9972318339100346,0.005536332179930792,0.9767722473604825,0.014554466653301679
47,mean,0.9972318339100346,0.005536332179930792,0.9767722473604825,0.014554466653301679
48,mean,0.9972318339100346,0.005536332179930792,0.9767722473604825,0.014554466653301679
49,mean,0.9975778546712804,0.004844290657439476,0.9767722473604825,0.014554466653301679
