base_id,condition,hop_depth,error_type,final_correct,final_absurd,max_probe_score,mean_probe_score,fired_at_least_once,n_interventions
planning_budget_0002,baseline,4,constraint_violation,False,False,0.999991079479442,0.4417707269500793,True,0
planning_budget_0002,reprompt,4,constraint_violation,False,False,0.999991079479442,0.4417707269500793,True,1
planning_budget_0002,replace_prior,4,constraint_violation,False,False,0.999991079479442,0.4417707269500793,True,0
planning_budget_0002,branch_and_pick,4,constraint_violation,False,False,0.9575337107248146,0.4311563847614226,True,1
2hop_fractions_0039,baseline,2,wrong_percentage_base,False,False,0.998736645176246,0.5154721805637505,True,0
2hop_fractions_0039,reprompt,2,wrong_percentage_base,False,False,0.998736645176246,0.5154721805637505,True,1
2hop_fractions_0039,replace_prior,2,wrong_percentage_base,False,False,0.0359473942844537,0.0340775551178543,False,1
2hop_fractions_0039,branch_and_pick,2,wrong_percentage_base,False,False,0.9973612369499196,0.5147844764505874,True,1
2hop_fractions_0032,baseline,2,wrong_unit,False,False,0.999622297280495,0.5466889110803345,True,0
2hop_fractions_0032,reprompt,2,wrong_unit,False,False,0.999622297280495,0.5466889110803345,True,1
2hop_fractions_0032,replace_prior,2,wrong_unit,False,False,0.1524038469002765,0.1230796858902252,False,1
2hop_fractions_0032,branch_and_pick,2,wrong_unit,False,False,0.9990990815207574,0.5464273032004656,True,1
3hop_multi_stage_geometry_0006,baseline,3,wrong_operator,False,False,0.9999030454396736,0.934988526843244,True,0
3hop_multi_stage_geometry_0006,reprompt,3,wrong_operator,False,False,0.9999030454396736,0.934988526843244,True,3
3hop_multi_stage_geometry_0006,replace_prior,3,wrong_operator,False,False,0.8877663009495581,0.3191622583306072,True,1
3hop_multi_stage_geometry_0006,branch_and_pick,3,wrong_operator,False,False,0.99965102574302,0.649219079363436,True,3
4hop_multi_stage_allocation_0017,baseline,4,wrong_unit,False,False,0.9996263464875108,0.7107518519543797,True,0
4hop_multi_stage_allocation_0017,reprompt,4,wrong_unit,False,False,0.9996263464875108,0.7107518519543797,True,3
4hop_multi_stage_allocation_0017,replace_prior,4,wrong_unit,False,False,0.0852770130499148,0.0225051967004241,False,1
4hop_multi_stage_allocation_0017,branch_and_pick,4,wrong_unit,False,False,0.9983944033538268,0.6479273669178843,True,3
3hop_compound_rate_0007,baseline,3,wrong_unit,False,False,0.994031066138973,0.6935685246241673,True,0
3hop_compound_rate_0007,reprompt,3,wrong_unit,False,False,0.994031066138973,0.6935685246241673,True,2
3hop_compound_rate_0007,replace_prior,3,wrong_unit,False,False,0.959133533706026,0.3894673378904331,True,1
3hop_compound_rate_0007,branch_and_pick,3,wrong_unit,False,False,0.9530481265264336,0.4644380804502088,True,2
